파일명,영문 표기,지점코드,위도,경도,고도
강원도_속초시,Sokcho,90,38.2481,128.567,17.79
강원도_춘천시,Chuncheon,101,37.8999,127.7379,76.82
강원도_강릉시,Gangneung,105,37.7486,128.8933,25.91
강원도_동해시,Donghae,106,37.5043,129.1266,39.6
강원도_원주시,Wonju,114,37.334,127.9504,150.0
충청북도_충주시,Chungju,127,36.9672,127.9522,113.1
충청남도_서산시,Seosan,129,36.7737,126.4959,25.93
경상북도_울진군,Uljin,130,36.9889,129.4153,49.42
경상북도_안동시,Andong,136,36.5701,128.7095,139.39
경상북도_상주시,Sangju,137,36.4,128.14999,100.0
경상북도_포항시,Pohang,138,36.0297,129.382,1.88
전라북도_군산시,Gunsan,140,35.99,126.7078,25.57
전라남도_목포시,Mokpo,165,34.8138,126.3832,37.88
전라남도_여수시,Yeosu,168,34.7362,127.7428,66.05
경상남도_진주시,Jinju,192,35.2054,128.12131,21.32
강원도_홍천군,Hongcheon,212,37.6808,127.8826,140.59
충청북도_보은군,Boeun,226,36.4847,127.7363,174.1
충청남도_천안시,Cheonan,232,36.7767,127.1213,24.89
충청남도_부여군,Buyeo,236,36.2694,126.9229,11.35
전라북도_부안군,Buan,243,35.7265,126.7186,10.68
전라북도_정읍시,Jeongeup,245,35.5601,126.8682,44.11
전라북도_장수군,Jangsu,248,35.6539,127.5224,407.01
전라남도_장흥군,Jangheung,260,34.6856,126.9216,45.22
전라남도_고흥군,Goheung,262,34.6151,127.2778,53.27
경상북도_문경시,Mungyeong,273,36.6243,128.151,170.36
경상북도_의성군,Uiseong,278,36.3531,128.6908,81.09
경상북도_구미시,Gumi,279,36.1276,128.3228,47.86
경상북도_영천시,Yeongcheon,281,35.9744,128.9537,94.1
경상남도_합천군,Hapcheon,285,35.562,128.172,32.66
경상남도_밀양시,Miryang,288,35.4885,128.7464,12.6
경상남도_산청군,Sancheong,289,35.4099,127.8813,138.57
경상남도_거제시,Geoje,294,34.8851,128.6067,45.27
경상남도_남해군,Namhae,295,34.8135,127.9286,44.41
